nohup: ignoring input
dict_keys(['train_x', 'train_y', 'dev_x', 'dev_y', 'test_x', 'test_y'])
max_sent_length:91 

-------train--------
9989 9989
['Aw', ',', 'we-we', 'are', 'so', '?', 'So', 'umm', ',', 'well', 'I-I-I', 'like', 'you', 'and', 'I-I', 'love', 'umm', ',', 'y', '?', 'know', 'hanging', 'out', 'with', 'you', '.']   1
['Yep', ',', 'we', 'shook', 'on', 'it', '.', 'Yeah', 'but', 'believe', 'me', 'that', 'is', 'not', 'how', 'he', 'wanted', 'to', 'seal', 'the', 'deal', '.']   0

-------dev--------
1109 1109
['Y', '?', 'know', ',', 'you', 'look', 'nothing', 'like', 'I', 'would', '?', 've', 'thought', '.', 'You', '?', 're', '?', 'you', '?', 're', 'so', 'young', '.']   2
['Hey', ',', 'where', 'are', 'Monica', 'and', 'Rachel', 'anyway', '?']   0

-------test--------
2610 2610
['Hang', 'on', 'buddy', '!']   4
['Fair', 'enough', ',', 'now', 'go', 'get', 'ready', '!']   0
====================INFORMATION====================
MODEL: rand
DATASET: MELD
VOCAB_SIZE: 7687
EPOCH: 50
LEARNING_RATE: 1
EARLY_STOPPING: False
SAVE_MODEL: False
MAX_SENT_LEN: 91
CLASS_SIZE: 7
FILTERS: [3, 4, 5]
FILTER_NUM: [50, 50, 50]
====================INFORMATION====================
====================TRAINING STARTED====================
==========ROUND 1==========
global_step: 1, epoch: 1, loss: 1.866614
global_step: 2, epoch: 1, loss: 1.617338
global_step: 3, epoch: 1, loss: 1.445319
global_step: 4, epoch: 1, loss: 1.548967
global_step: 5, epoch: 1, loss: 1.632822
global_step: 6, epoch: 1, loss: 1.599324
global_step: 7, epoch: 1, loss: 1.612724
global_step: 8, epoch: 1, loss: 1.427559
global_step: 9, epoch: 1, loss: 1.467081
global_step: 10, epoch: 1, loss: 1.582307
global_step: 11, epoch: 1, loss: 1.503292
global_step: 12, epoch: 1, loss: 1.428020
global_step: 13, epoch: 1, loss: 1.446878
global_step: 14, epoch: 1, loss: 1.389066
global_step: 15, epoch: 1, loss: 1.435093
global_step: 16, epoch: 1, loss: 1.268308
global_step: 17, epoch: 1, loss: 1.385057
global_step: 18, epoch: 1, loss: 1.375782
global_step: 19, epoch: 1, loss: 1.409515
global_step: 20, epoch: 1, loss: 1.343334
global_step: 21, epoch: 1, loss: 1.355072
global_step: 22, epoch: 1, loss: 1.354431
global_step: 23, epoch: 1, loss: 1.450558
global_step: 24, epoch: 1, loss: 1.330054
global_step: 25, epoch: 1, loss: 1.398593
global_step: 26, epoch: 1, loss: 1.414618
global_step: 27, epoch: 1, loss: 1.474153
global_step: 28, epoch: 1, loss: 1.410865
global_step: 29, epoch: 1, loss: 1.274657
global_step: 30, epoch: 1, loss: 1.300720
global_step: 31, epoch: 1, loss: 1.376679
global_step: 32, epoch: 1, loss: 1.342081
global_step: 33, epoch: 1, loss: 1.381250
global_step: 34, epoch: 1, loss: 1.408798
global_step: 35, epoch: 1, loss: 1.383865
global_step: 36, epoch: 1, loss: 1.310071
global_step: 37, epoch: 1, loss: 1.309164
global_step: 38, epoch: 1, loss: 1.437710
global_step: 39, epoch: 1, loss: 1.463105
global_step: 40, epoch: 1, loss: 0.773045
epoch: 1
train	acc: 0.5181	macro: p 0.2008, r 0.2186, f1: 0.1670	micro: p 0.5181, r 0.5181, f1 0.5181	weighted_f1:0.4016
dev	acc: 0.4815	macro: p 0.1976, r 0.2227, f1: 0.1662	micro: p 0.4815, r 0.4815, f1 0.4815	weighted_f1:0.3578
test	acc: 0.5234	macro: p 0.2014, r 0.2208, f1: 0.1683	micro: p 0.5234, r 0.5234, f1 0.5234	weighted_f1:0.4088
New best model!
global_step: 41, epoch: 2, loss: 1.577056
global_step: 42, epoch: 2, loss: 1.437878
global_step: 43, epoch: 2, loss: 1.237160
global_step: 44, epoch: 2, loss: 1.334317
global_step: 45, epoch: 2, loss: 1.369139
global_step: 46, epoch: 2, loss: 1.248585
global_step: 47, epoch: 2, loss: 1.369712
global_step: 48, epoch: 2, loss: 1.319783
global_step: 49, epoch: 2, loss: 1.505299
global_step: 50, epoch: 2, loss: 1.385182
global_step: 51, epoch: 2, loss: 1.348917
global_step: 52, epoch: 2, loss: 1.325516
global_step: 53, epoch: 2, loss: 1.208168
global_step: 54, epoch: 2, loss: 1.353411
global_step: 55, epoch: 2, loss: 1.270622
global_step: 56, epoch: 2, loss: 1.228146
global_step: 57, epoch: 2, loss: 1.205105
global_step: 58, epoch: 2, loss: 1.360345
global_step: 59, epoch: 2, loss: 1.346563
global_step: 60, epoch: 2, loss: 1.365627
global_step: 61, epoch: 2, loss: 1.339758
global_step: 62, epoch: 2, loss: 1.229793
global_step: 63, epoch: 2, loss: 1.344808
global_step: 64, epoch: 2, loss: 1.268021
global_step: 65, epoch: 2, loss: 1.332358
global_step: 66, epoch: 2, loss: 1.299608
global_step: 67, epoch: 2, loss: 1.439560
global_step: 68, epoch: 2, loss: 1.274599
global_step: 69, epoch: 2, loss: 1.271695
global_step: 70, epoch: 2, loss: 1.177794
global_step: 71, epoch: 2, loss: 1.365433
global_step: 72, epoch: 2, loss: 1.271807
global_step: 73, epoch: 2, loss: 1.456132
global_step: 74, epoch: 2, loss: 1.341118
global_step: 75, epoch: 2, loss: 1.374846
global_step: 76, epoch: 2, loss: 1.346496
global_step: 77, epoch: 2, loss: 1.339851
global_step: 78, epoch: 2, loss: 1.263994
global_step: 79, epoch: 2, loss: 1.313921
global_step: 80, epoch: 2, loss: 1.907936
epoch: 2
train	acc: 0.3402	macro: p 0.3551, r 0.2842, f1: 0.2194	micro: p 0.3402, r 0.3402, f1 0.3402	weighted_f1:0.3195
dev	acc: 0.3192	macro: p 0.3755, r 0.2639, f1: 0.2074	micro: p 0.3192, r 0.3192, f1 0.3192	weighted_f1:0.2973
test	acc: 0.3195	macro: p 0.3766, r 0.2741, f1: 0.2059	micro: p 0.3195, r 0.3195, f1 0.3195	weighted_f1:0.2974
global_step: 81, epoch: 3, loss: 1.602856
global_step: 82, epoch: 3, loss: 1.274013
global_step: 83, epoch: 3, loss: 1.152265
global_step: 84, epoch: 3, loss: 1.289175
global_step: 85, epoch: 3, loss: 1.322528
global_step: 86, epoch: 3, loss: 1.347229
global_step: 87, epoch: 3, loss: 1.137893
global_step: 88, epoch: 3, loss: 1.236816
global_step: 89, epoch: 3, loss: 1.320562
global_step: 90, epoch: 3, loss: 1.170364
global_step: 91, epoch: 3, loss: 1.292242
global_step: 92, epoch: 3, loss: 1.368735
global_step: 93, epoch: 3, loss: 1.297244
global_step: 94, epoch: 3, loss: 1.365607
global_step: 95, epoch: 3, loss: 1.261150
global_step: 96, epoch: 3, loss: 1.287433
global_step: 97, epoch: 3, loss: 1.248346
global_step: 98, epoch: 3, loss: 1.351233
global_step: 99, epoch: 3, loss: 1.169629
global_step: 100, epoch: 3, loss: 1.351056
global_step: 101, epoch: 3, loss: 1.235681
global_step: 102, epoch: 3, loss: 1.093792
global_step: 103, epoch: 3, loss: 1.218912
global_step: 104, epoch: 3, loss: 1.292454
global_step: 105, epoch: 3, loss: 1.217255
global_step: 106, epoch: 3, loss: 1.193878
global_step: 107, epoch: 3, loss: 1.310377
global_step: 108, epoch: 3, loss: 1.182865
global_step: 109, epoch: 3, loss: 1.297479
global_step: 110, epoch: 3, loss: 1.264324
global_step: 111, epoch: 3, loss: 1.284909
global_step: 112, epoch: 3, loss: 1.171549
